time,One_full_time_and_one_part_time_working_person_three_children,Two_full_time_working_persons_three_children,One_full_time_and_one_part_time_working_person_two_children,Two_full_time_working_persons_two_children,"One_full_time_and_one_part_time_working_person,_one_child",Two_full_time_working_persons_one_child,One_full_time_and_one_part_time_working_person,Two_pensioneers,Two_full_time_working_persons,One_pensioneer,One_full_time_working_person
9/21/2015 15:00,0.756084485,1.2664758,0.09953335,0.086849317,0.247999767,0.1249089,0.541322803,1.02432465,0.121835233,0.082996482,0.1192425
9/21/2015 16:00,0.669699372,0.191239817,0.106295233,0.082076367,0.132370267,0.1457681,2.23081375,0.130888117,0.1230014,0.066819572,0.1814027
9/21/2015 17:00,0.48256354,0.249689933,0.356932767,0.10904825,0.19895785,0.25365665,1.568511583,0.1890242,0.125104433,0.087054817,0.194452183
9/21/2015 18:00,0.59878862,0.609099417,0.540477083,0.1908881,0.2126069,0.340097833,2.452807633,0.4788783,0.203436088,0.142458167,0.23194695
9/21/2015 19:00,0.886274067,2.136563517,0.585991667,1.248229567,0.155243017,0.288222167,0.363149692,0.455132,0.245010267,0.200213167,0.253179783
9/21/2015 20:00,0.881482133,0.95023055,0.588834833,1.020439167,0.33802445,0.467913833,0.921918008,0.596284,0.32477315,0.188593563,0.180964317
9/21/2015 21:00,0.792839343,0.87464795,0.446370683,0.336009667,0.623581667,0.479622,0.37635445,0.393887867,0.232792717,0.353398295,0.283745617
9/21/2015 22:00,0.502398098,0.668807883,0.606865517,0.358531,0.2885328,0.253039667,0.379058833,0.262308617,2.403425317,0.063413915,0.273745033
9/21/2015 23:00,0.453632577,0.313086417,0.139242383,0.101982317,0.116383367,0.119277683,0.170180867,0.117397683,0.186428767,0.078222985,0.20183265
9/22/2015 0:00,0.284228935,2.4584879,0.104331433,0.119952383,0.117086533,0.121229483,0.118992817,0.11710025,0.118885967,0.061192198,0.15311595
9/22/2015 1:00,0.239790363,0.217865038,0.08035515,0.18542485,0.13157295,0.11761075,0.118612833,0.116683033,0.124202083,0.06140264,0.121872283
9/22/2015 2:00,0.146296267,0.57769185,0.101894533,0.102925067,0.117008983,0.1100701,0.120472715,0.116287483,0.20427635,0.063774818,0.119143667
9/22/2015 3:00,0.144268097,0.183448933,0.101206633,0.076270585,0.116812233,0.110482733,0.1215215,0.11649855,0.14238355,0.076894665,0.12046055
9/22/2015 4:00,0.158762332,0.17097626,0.4655209,0.082380433,0.11773625,0.130114033,0.119595217,0.116236383,0.123088483,0.062739661,0.120622133
9/22/2015 5:00,0.164422083,0.200016117,0.24132265,0.082971717,0.119156267,0.114000367,0.119722917,0.197770567,0.302240367,0.062206114,0.122744267
9/22/2015 6:00,0.285417033,0.221525567,0.233839167,0.694528433,0.790050767,0.114847133,0.224851383,0.164962833,0.27810835,0.38598918,0.122148617
9/22/2015 7:00,0.322698733,0.278311922,1.246466667,0.312193433,0.253456083,0.154545283,0.140622467,0.78724545,0.273275182,0.149382683,0.121062417
9/22/2015 8:00,0.175762833,0.209208133,0.71530795,0.1120098,0.125630533,1.11404223,0.119366633,0.566788033,0.127162217,0.06919541,0.1231451
9/22/2015 9:00,0.175129217,0.533426333,0.267015867,0.080362117,0.120202417,0.290629172,0.11937965,0.125677967,0.124107867,0.067167072,0.128063483
9/22/2015 10:00,0.42352035,0.74553295,0.102406383,0.078586272,0.117053017,0.136045783,0.1192328,0.1239085,0.1217047,0.068912965,0.126211833
9/22/2015 11:00,0.151066287,1.587351783,0.103348983,0.08643625,0.20411025,0.273342317,0.317148983,0.2824791,0.130129633,0.882489198,0.126330328
9/22/2015 12:00,0.185455645,0.467397333,0.1006845,0.089705167,1.8234311,0.7214846,0.29244235,1.303365717,0.121092783,0.205732223,0.122872633
9/22/2015 13:00,0.998699128,0.327967533,2.61977395,0.353506208,1.4558509,1.561960333,0.123234805,0.125942183,0.121072733,0.066577054,0.119657767
9/22/2015 14:00,0.166304583,0.19445655,0.08984505,0.375168383,0.127014967,0.497753358,0.120219383,0.97274,0.124381533,0.06245978,0.119184433
9/22/2015 15:00,0.186237982,1.4229796,0.1019405,0.1361625,0.127297467,0.321258542,0.1213441,1.300115267,0.12512285,0.082779565,0.1197993
9/22/2015 16:00,0.159504485,1.346349,0.807708783,0.131029033,0.128848117,0.32093389,0.121699167,0.489675717,0.332715633,0.279493205,0.18182855
9/22/2015 17:00,0.232269473,1.106737167,0.502653817,0.628104433,0.123713883,0.32907425,0.1216862,0.275525417,0.189448967,0.182539757,0.166034427
9/22/2015 18:00,1.376775717,0.621114517,0.817432065,1.681075167,0.2754062,0.429355333,0.121052533,0.3052907,0.286429605,0.440743817,0.12259575
